"Brand","Model","Year","Age","KmDriven","Transmission","Owner","FuelType","PostedDate","IDR_Price"
Hyundai,i20,"2019",5,"35,000 km",Manual,first,Petrol,Nov-24,111735000
Mercedes-Benz,E-Class,"2019",5,"101,570 km",Automatic,first,Diesel,Oct-24,802200000
Volkswagen,Polo,"2021",3,"42,000 km",Manual,second,Petrol,Nov-24,128925000
Maruti Suzuki,Baleno,"2018",6,"30,000 km",Manual,second,Petrol,Nov-24,120330000
Hyundai,Verna,"2016",8,"82,100 km",Manual,second,Diesel,Nov-24,88815000
Audi,A4,"2012",12,"90,000 km",Automatic,second,Diesel,Aug-24,171708992
Toyota,Fortuner,"2011",13,"193,000 km",Manual,second,Diesel,Nov-24,214875008
Mercedes-Benz,C-Class,"2015",9,"65000.0 km",Automatic,first,Diesel,Nov-24,334249984
Hyundai,Creta,"2022",2,"30000.0 km",Automatic,second,Petrol,Nov-24,322790016
Maruti Suzuki,Swift-Dzire,"2020",4,"94,856 km",Manual,first,Petrol,Nov-24,131790000
Skoda,Kushaq,"2023",1,"12,000 km",Automatic,first,Petrol,Nov-24,343800000
Maruti Suzuki,Ciaz,"2018",6,"0 km",Manual,first,Petrol,Nov-24,95500000
Tata,Safari,"2010",14,"500,000 km",Manual,first,Diesel,Nov-24,152800000
Toyota,Innova Crysta,"2018",6,"118,000 km",Automatic,first,Diesel,Nov-24,342844992
Mercedes-Benz,C-Class,"2016",8,"41,000 km",Automatic,second,Petrol,Oct-24,382000000
Honda,City,"2010",14,"79,000 km",Manual,second,Petrol,Nov-24,55390000
Honda,BRV,"2016",8,"103,001 km",Manual,second,Diesel,Nov-24,106111008
Hyundai,Creta,"2017",7,"70,000 km",Manual,second,Petrol,Nov-24,146115008
Renault,Duster,"2018",6,"130,000 km",Manual,first,Diesel,Nov-24,131790000
Maruti Suzuki,Wagon-R,"2011",13,"78,000 km",Manual,second,Petrol,Nov-24,42975000
Toyota,Fortuner,"2017",7,"115,000 km",Automatic,second,Diesel,Nov-24,456489984
Mahindra,Bolero Power Plus,"2017",7,"160,000 km",Manual,second,Diesel,Nov-24,105050000
Hyundai,Eon,"2017",7,"27,000 km",Manual,second,Petrol,Oct-24,57300000
MG,Hector Plus,"2020",4,"81,600 km",Automatic,first,Petrol,Nov-24,195011008
Hyundai,Creta,"2017",7,"54,000 km",Automatic,first,Petrol,Nov-24,154900992
Mahindra,XUV500,"2018",6,"76,000 km",Manual,first,Diesel,Nov-24,214875008
Mercedes-Benz,GLS,"2014",10,"86,000 km",Automatic,first,Diesel,Nov-24,573000000
Hyundai,i10,"2011",13,"65,000 km",Manual,second,Petrol,Nov-24,21965000
Mercedes-Benz,GLA Class,"2018",6,"60,000 km",Automatic,second,Diesel,Nov-24,276950016
Kia,Carens,"2023",1,"24,000 km",Manual,first,Petrol,Nov-24,233975008
Toyota,Innova,"2011",13,"100,231 km",Manual,second,Diesel,Nov-24,81958288
Maruti Suzuki,Ignis,"2023",1,"13,000 km",Manual,second,Petrol,Nov-24,116510000
Hyundai,Grand i10,"2017",7,"47,000 km",Manual,first,Petrol,Nov-24,99319808
Hyundai,Getz Prime,"2007",17,"115,031 km",Manual,second,Petrol,Nov-24,26740000
Maruti Suzuki,Swift,"2014",10,"67,000 km",Manual,first,Petrol,Nov-24,53480000
Hyundai,Xcent,"2016",8,"74,500 km",Manual,first,Diesel,Nov-24,81175000
Honda,City,"2016",8,"93,000 km",Automatic,second,Petrol,Nov-24,109825000
Maruti Suzuki,Ritz,"2015",9,"59,000 km",Manual,first,Petrol,Nov-24,56345000
Toyota,Innova Crysta,"2017",7,"79000.0 km",Automatic,second,Diesel,Nov-24,329475008
Hyundai,Verna,"2022",2,"69,000 km",Automatic,first,Diesel,Nov-24,238750000
Hyundai,Creta,"2015",9,"76,000 km",Automatic,second,Diesel,Nov-24,124150000
Kia,Sonet,"2020",4,"34,500 km",Automatic,first,Petrol,Nov-24,178584992
Ford,Ecosport,"2016",8,"130,000 km",Manual,second,Diesel,Nov-24,76400000
Mercedes-Benz,GLC Coupe,"2022",2,"20,000 km",Automatic,first,Diesel,Nov-24,1432499968
Mahindra,Scorpio-N,"2023",1,"15,905 km",Automatic,first,Diesel,Nov-24,448849984
Toyota,Innova Crysta,"2021",3,"21,000 km",Manual,first,Diesel,Nov-24,405875008
Mini,Cooper 3 DOOR,"2019",5,"13,000 km",Automatic,first,Petrol,Nov-24,754449984
Maruti Suzuki,Ertiga,"2015",9,"75,000 km",Manual,first,Diesel,Nov-24,83085000
Volkswagen,Polo,"2012",12,"80,000 km",Manual,second,Diesel,Nov-24,57300000
Maruti Suzuki,Wagon-R,"2016",8,"50,000 km",Manual,first,Petrol,Sep-24,46795000
Tata,Nexon,"2022",2,"40,000 km",Automatic,second,Petrol,Nov-24,129880000
Maruti Suzuki,Ritz,"2013",11,"87,000 km",Manual,first,Diesel,Oct-24,73535000
Toyota,Etios,"2015",9,"155,000 km",Manual,second,Diesel,Nov-24,112499000
Volkswagen,CrossPolo,"2014",10,"80,000 km",Manual,second,Diesel,Nov-24,81175000
Maruti Suzuki,Wagon-R,"2014",10,"84,000 km",Manual,second,Petrol,Oct-24,50615000
Volkswagen,Polo,"2021",3,"18,000 km",Automatic,first,Petrol,Nov-24,162350000
Maruti Suzuki,Baleno,"2017",7,"47,000 km",Automatic,first,Petrol,Oct-24,109825000
Volkswagen,Vento,"2011",13,"134000.0 km",Manual,first,Diesel,Nov-24,81175000
Maruti Suzuki,Alto-K10,"2011",13,"82,000 km",Manual,first,Petrol,Nov-24,34380000
Maruti Suzuki,Celerio,"2015",9,"35,000 km",Automatic,first,Petrol,Nov-24,81175000
Renault,Duster,"2015",9,"150,000 km",Automatic,second,Diesel,Nov-24,85950000
Toyota,Fortuner,"2012",12,"132,000 km",Manual,first,Diesel,Oct-24,209144992
Land Rover,Range Rover Evoque,"2017",7,"130,000 km",Automatic,second,Petrol,Nov-24,477500000
Maruti Suzuki,Ertiga,"2020",4,"59,000 km",Automatic,first,Petrol,Nov-24,187180000
Tata,Nexon,"2018",6,"95,000 km",Automatic,second,Petrol,Nov-24,109825000
Tata,Indigo Ecs,"2016",8,"115,000 km",Manual,second,Diesel,Nov-24,21010000
Mahindra,Thar,"2022",2,"11000.0 km",Manual,first,Diesel,Nov-24,319924992
Toyota,Camry,"2015",9,"68,000 km",Automatic,second,Petrol,Nov-24,226335008
Skoda,Kushaq,"2021",3,"74,000 km",Automatic,first,Petrol,Nov-24,229008992
Maruti Suzuki,Ritz,"2012",12,"88,000 km",Manual,first,Petrol,Nov-24,73535000
Hyundai,Grand i10,"2014",10,"47,000 km",Automatic,second,Petrol,Nov-24,86905000
Mahindra,Bolero,"2015",9,"16 km",Manual,first,Diesel,Nov-24,74490000
Honda,Brio,"2012",12,"68,000 km",Manual,first,Petrol,Nov-24,44885000
Honda,City ZX,"2007",17,"115,000 km",Manual,second,Petrol,Oct-24,50615000
Hyundai,i10,"2011",13,"50,000 km",Manual,second,Petrol,Nov-24,28650000
Honda,WRV,"2017",7,"98,000 km",Manual,first,Diesel,Nov-24,114600000
Land Rover,Discovery Sport,"2019",5,"62,000 km",Automatic,first,Diesel,Nov-24,591908992
Tata,Harrier,"2019",5,"67,000 km",Manual,second,Diesel,Nov-24,171708992
Tata,Zest,"2015",9,"69,000 km",Manual,second,Petrol,Nov-24,64940000
Maruti Suzuki,Eeco,"2021",3,"49,000 km",Manual,first,Petrol,Oct-24,103140000
Maruti Suzuki,Swift-Dzire,"2013",11,"162,000 km",Manual,second,Diesel,Nov-24,74490000
Toyota,Fortuner,"2018",6,"86,000 km",Manual,first,Diesel,Nov-24,477308992
Hyundai,Creta,"2023",1,"35,000 km",Automatic,first,Diesel,Nov-24,386775008
Maruti Suzuki,Wagon-R,"2014",10,"38,000 km",Manual,first,Petrol,Nov-24,70670000
Hyundai,Creta,"2020",4,"105,000 km",Manual,first,Diesel,Nov-24,200550000
Toyota,"2.8 Legender 4X2","2022",2,"25,500 km",Automatic,first,Diesel,Nov-24,802199808
Maruti Suzuki,Swift Dzire,"2015",9,"67000.0 km",Manual,first,Petrol,Nov-24,85950000
Volkswagen,VentoTest,"2016",8,"78,000 km",Automatic,first,Petrol,Nov-24,106005000
Toyota,Innova,"2006",18,"191,000 km",Manual,first,Diesel,Nov-24,56345000
Hyundai,Creta,"2018",6,"66,000 km",Automatic,second,Petrol,Oct-24,205324992
Toyota,Innova Crysta,"2016",8,"75,000 km",Manual,first,Diesel,Nov-24,282680000
Maruti Suzuki,Vitara-Brezza,"2018",6,"85,600 km",Manual,first,Diesel,Nov-24,143250000
Maruti Suzuki,Ertiga,"2012",12,"155,000 km",Manual,second,Diesel,Nov-24,124150000
Hyundai,i10,"2010",14,"46,000 km",Manual,second,Petrol,Nov-24,14898000
Maruti Suzuki,Ciaz,"2015",9,"68,000 km",Manual,first,Petrol,Nov-24,63030000
Ford,Ecosport,"2018",6,"73,000 km",Automatic,first,Petrol,Nov-24,112690000
Honda,City,"2011",13,"74,000 km",Automatic,second,Petrol,Nov-24,71625000
Maruti Suzuki,Swift,"2018",6,"65,000 km",Automatic,second,Petrol,Nov-24,112690000
Audi,A4,"2021",3,"50,000 km",Automatic,first,Petrol,Nov-24,620750016
Honda,City,"2014",10,"61,000 km",Automatic,first,Petrol,Nov-24,130835000
Maruti Suzuki,Swift,"2005",19,"98,000 km",Manual,second,Petrol,Nov-24,30560000
Mahindra,XUV500,"2017",7,"76,000 km",Automatic,second,Diesel,Nov-24,145160000
Mahindra,XUV500,"2016",8,"89,100 km",Manual,second,Diesel,Nov-24,145160000
Volkswagen,Polo,"2018",6,"73,961 km",Automatic,second,Petrol,Nov-24,178584992
Ford,Endeavour,"2019",5,"60,000 km",Automatic,first,Diesel,Nov-24,523340000
Mahindra,Thar,"2018",6,"46,850 km",Manual,second,Diesel,Nov-24,168080000
Mahindra,Thar,"2023",1,"28000.0 km",Automatic,first,Diesel,Nov-24,340935008
Mahindra,XUV500,"2013",11,"99,000 km",Manual,second,Diesel,Nov-24,89770000
Maruti Suzuki,Sx4,"2009",15,"56,328 km",Manual,first,Petrol,Nov-24,50615000
Audi,A3,"2015",9,"42,000 km",Automatic,second,Diesel,Nov-24,200550000
Hyundai,Creta,"2018",6,"127000.0 km",Manual,first,Diesel,Nov-24,190044992
Mercedes-Benz,C-Class,"2013",11,"78,000 km",Automatic,second,Petrol,Nov-24,150890000
Toyota,Innova Crysta,"2022",2,"31,000 km",Automatic,first,Diesel,Nov-24,515700000
Skoda,Kodiaq,"2020",4,"57,000 km",Automatic,first,Diesel,Nov-24,581595008
Ford,Endeavour,"2017",7,"70,000 km",Automatic,second,Diesel,Oct-24,506150016
Honda,City,"2016",8,"93,000 km",Automatic,second,Petrol,Nov-24,109825000
Hyundai,Eon,"2014",10,"41,453 km",Manual,second,Petrol,Nov-24,42020000
Tata,Altroz,"2021",3,"33,000 km",Manual,first,Petrol,Nov-24,104095000
Maruti Suzuki,Celerio,"2018",6,"37,000 km",Automatic,second,Petrol,Nov-24,87860000
Volkswagen,Polo,"2015",9,"65,000 km",Manual,first,Petrol,Nov-24,71625000
Hyundai,Grand i10 Nios,"2022",2,"36,000 km",Automatic,first,Petrol,Nov-24,131790000
Toyota,Camry,"2016",8,"130,000 km",Automatic,second,Petrol,Oct-24,267399808
Maruti Suzuki,Alto-800,"2013",11,"100,000 km",Manual,second,Petrol,Nov-24,30560000
BMW,X1,"2016",8,"93000.0 km",Automatic,first,Diesel,Nov-24,401100000
Hyundai,Creta,"2019",5,"48,000 km",Manual,first,Diesel,Nov-24,203415008
BMW,X5,"2016",8,"63,000 km",Automatic,second,Diesel,Nov-24,437390016
Hyundai,i20,"2015",9,"85000.0 km",Manual,second,Diesel,Nov-24,106960000
Skoda,Rapid,"2017",7,"70,000 km",Automatic,first,Diesel,Nov-24,143250000
Hyundai,Verna,"2013",11,"59,000 km",Manual,second,Petrol,Nov-24,81175000
Mahindra,TUV,"2015",9,"72,000 km",Automatic,second,Diesel,Nov-24,74490000
Mercedes-Benz,E-Class,"2012",12,"74,000 km",Automatic,second,Diesel,Nov-24,247344992
Honda,City,"2018",6,"78,127 km",Manual,first,Diesel,Nov-24,149935008
Maruti Suzuki,Ciaz,"2020",4,"26,000 km",Manual,first,Petrol,Nov-24,148024992
Renault,KWID,"2017",7,"65,663 km",Automatic,second,Petrol,Nov-24,62075000
BMW,"5 Series","2018",6,"24,000 km",Automatic,first,Petrol,Nov-24,802009024
Toyota,Fortuner,"2015",9,"160,000 km",Automatic,second,Diesel,Nov-24,238750000
Volkswagen,Polo,"2020",4,"79000.0 km",Manual,second,Petrol,Nov-24,138475008
Maruti Suzuki,Baleno,"2018",6,"31,000 km",Manual,first,Petrol,Nov-24,104859000
Hyundai,Creta,"2019",5,"55,000 km",Automatic,first,Diesel,Nov-24,248299808
Maruti Suzuki,Swift Dzire,"2015",9,"89000.0 km",Manual,second,Diesel,Nov-24,82321000
Hyundai,Alcazar,"2022",2,"37,000 km",Automatic,first,Diesel,Nov-24,347620000
Maruti Suzuki,Alto K10,"2016",8,"56000.0 km",Manual,first,Petrol,Nov-24,52525000
Mercedes-Benz,M-Class,"2015",9,"75,000 km",Automatic,first,Diesel,Nov-24,467950016
Honda,Brio,"2014",10,"32,001 km",Manual,second,Petrol,Nov-24,56345000
Maruti Suzuki,Swift-Dzire,"2024",0,"22,000 km",Manual,first,Petrol,Oct-24,49660000
Hyundai,i20,"2010",14,"45,000 km",Manual,second,Petrol,Nov-24,28650000
Toyota,Fortuner,"2021",3,"60,000 km",Automatic,first,Petrol,Sep-24,611200000
Kia,Seltos,"2021",3,"41,000 km",Automatic,first,Petrol,Oct-24,265490000
Volkswagen,Polo,"2015",9,"51,000 km",Manual,second,Petrol,Nov-24,95499808
Toyota,Glanza,"2021",3,"28,000 km",Automatic,second,Petrol,Nov-24,143250000
BMW,"5 Series","2019",5,"38,000 km",Automatic,first,Diesel,Nov-24,849950016
Skoda,Rapid,"2019",5,"64,800 km",Automatic,first,Diesel,Nov-24,152608992
Jeep,Compass,"2022",2,"17,300 km",Automatic,first,Petrol,Oct-24,381044992
Volkswagen,VentoTest,"2013",11,"38,000 km",Manual,first,Petrol,Nov-24,55772000
Honda,City,"2011",13,"95,000 km",Automatic,second,Petrol,Nov-24,53480000
Honda,Brio,"2012",12,"72,000 km",Manual,first,Petrol,Nov-24,31515000
Maruti Suzuki,Ertiga,"2016",8,"135,000 km",Manual,second,Diesel,Nov-24,167124992
Toyota,Etios,"2012",12,"135,000 km",Manual,second,Diesel,Nov-24,75445000
Volkswagen,VentoTest,"2019",5,"160,000 km",Manual,first,Diesel,Nov-24,132745000
Tata,Harrier,"2022",2,"14,000 km",Automatic,first,Diesel,Oct-24,358124992
Kia,Seltos,"2020",4,"50,200 km",Automatic,first,Petrol,Nov-24,248300000
Maruti Suzuki,Alto-800,"2014",10,"47,000 km",Manual,first,Petrol,Nov-24,48705000
Audi,A3,"2015",9,"42,000 km",Automatic,second,Diesel,Nov-24,200550000
Honda,City,"2011",13,"59,600 km",Manual,second,Petrol,Nov-24,40110000
Maruti Suzuki,Ritz,"2010",14,"8,000 km",Automatic,second,Petrol,Nov-24,35335000
Maruti Suzuki,Wagon-R,"2023",1,"30,000 km",Manual,first,Petrol,Nov-24,128925000
Renault,KWID,"2017",7,"54,000 km",Automatic,second,Petrol,Nov-24,69715000
Maruti Suzuki,Omni,"1998",26,"80,000 km",Manual,second,Petrol,Nov-24,14325000
Chevrolet,Cruze,"2011",13,"100,000 km",Automatic,second,Diesel,Nov-24,56345000
Mahindra,XUV500,"2017",7,"48,000 km",Automatic,first,Diesel,Nov-24,229199808
Hyundai,Verna,"2013",11,"150,000 km",Automatic,second,Diesel,Nov-24,78310000
Hyundai,Creta,"2016",8,"63,000 km",Manual,second,Petrol,Nov-24,124150000
Toyota,Fortuner,"2014",10,"333,000 km",Automatic,second,Diesel,Nov-24,275995008
Honda,City,"2018",6,"62000.0 km",Manual,first,Petrol,Nov-24,132745000
Honda,Amaze,"2021",3,"56,001 km",Automatic,first,Diesel,Nov-24,214875008
Toyota,Innova Crysta,"2017",7,"25,000 km",Manual,first,Diesel,Nov-24,298915008
Honda,Jazz,"2015",9,"68,001 km",Manual,second,Petrol,Oct-24,84804000
Renault,Scala,"2013",11,"72,000 km",Manual,first,Diesel,Nov-24,65895000
BMW,"3 Series GT","2019",5,"50,000 km",Automatic,second,Diesel,Nov-24,510924992
Honda,City,"2016",8,"95,000 km",Manual,second,Petrol,Nov-24,102185000
Maruti Suzuki,S-Presso,"2021",3,"39,000 km",Automatic,first,Petrol,Nov-24,88815000
Mahindra,XUV500,"2013",11,"60,000 km",Manual,second,Diesel,Nov-24,132745000
Hyundai,Tucson,"2017",7,"72,315 km",Automatic,second,Diesel,Nov-24,197684992
Hyundai,Verna,"2014",10,"82,000 km",Automatic,second,Petrol,Nov-24,74490000
Toyota,Camry,"2015",9,"68,000 km",Automatic,second,Petrol,Nov-24,226335008
Maruti Suzuki,Alto,"2019",5,"85,000 km",Automatic,second,Petrol,Nov-24,53480000
Hyundai,Santa Fe,"2016",8,"64,000 km",Automatic,first,Diesel,Nov-24,237795008
Hyundai,Xcent,"2016",8,"68,500 km",Manual,second,Petrol,Nov-24,84040000
Maruti Suzuki,Dzire,"2022",2,"44000.0 km",Automatic,first,Petrol,Nov-24,148980000
Maruti Suzuki,Swift,"2019",5,"59000.0 km",Manual,first,Petrol,Nov-24,103140000
MG,ASTOR,"2022",2,"32,000 km",Automatic,first,Petrol,Oct-24,243524992
Audi,Q7,"2014",10,"45,000 km",Automatic,second,Diesel,Nov-24,229200000
Volkswagen,VentoTest,"2016",8,"130,000 km",Automatic,second,Petrol,Oct-24,100275000
Mercedes-Benz,GLE COUPE,"2021",3,"32,000 km",Automatic,second,Petrol,Oct-24,2253799936
Maruti Suzuki,Alto-800,"2019",5,"0",Manual,first,Petrol,Nov-24,57300000
Toyota,Innova Crysta,"2017",7,"112,000 km",Automatic,first,Diesel,Oct-24,296262208
Mini,Cooper 5 DOOR,"2014",10,"32,000 km",Automatic,second,Diesel,Oct-24,362900000
Renault,KWID,"2017",7,"78537.0 km",Automatic,first,Petrol,Nov-24,71625000
Volkswagen,VentoTest,"2018",6,"70,673 km",Automatic,first,Diesel,Nov-24,148024992
Maruti Suzuki,Baleno,"2018",6,"39,848 km",Manual,first,Petrol,Nov-24,91666824
Audi,Q3,"2016",8,"77,000 km",Automatic,first,Diesel,Nov-24,286500000
Maruti Suzuki,Alto,"2008",16,"111,400 km",Manual,second,Petrol,Nov-24,28650000
Toyota,Fortuner,"2017",7,"30,000 km",Automatic,second,Diesel,Nov-24,667545024
Skoda,Rapid,"2015",9,"82,000 km",Automatic,second,Diesel,Nov-24,62075000
Maruti Suzuki,Swift-Dzire,"2013",11,"89,000 km",Manual,second,Diesel,Nov-24,68951000
Toyota,Fortuner,"2015",9,"195,000 km",Automatic,first,Diesel,Nov-24,296049984
Tata,Hexa,"2017",7,"65,110 km",Manual,first,Diesel,Nov-24,132745000
Hyundai,Creta Facelift,"2022",2,"25,000 km",Manual,first,Petrol,Sep-24,262624992
BMW,"7 Series","2014",10,"115,000 km",Automatic,first,Diesel,Oct-24,286500000
Honda,Jazz,"2015",9,"64,000 km",Manual,first,Petrol,Oct-24,109824808
Volkswagen,Polo,"2013",11,"61,000 km",Automatic,first,Petrol,Nov-24,79265000
Hyundai,Grand i10,"2014",10,"54,000 km",Automatic,second,Petrol,Nov-24,91489000
Maruti Suzuki,Ciaz,"2020",4,"610,003 km",Manual,first,Petrol,Nov-24,160440000
Toyota,Innova Crysta,"2022",2,"25,000 km",Automatic,first,Diesel,Nov-24,496600000
Maruti Suzuki,Celerio,"2015",9,"103000.0 km",Automatic,second,Petrol,Nov-24,68760000
Mahindra,Thar,"2022",2,"14,000 km",Automatic,first,Petrol,Nov-24,296049984
Tata,Bolt,"2015",9,"56,000 km",Manual,first,Petrol,Nov-24,44885000
BMW,"5 Series","2016",8,"47,000 km",Automatic,second,Diesel,Nov-24,477500000
Jaguar,XF,"2013",11,"97,763 km",Automatic,second,Diesel,Nov-24,296049984
Tata,Tiago,"2021",3,"74,000 km",Manual,second,Petrol,Nov-24,98365000
Honda,Brio,"2015",9,"50000.0 km",Manual,second,Petrol,Nov-24,73535000
Toyota,Innova Crysta,"2021",3,"42000.0 km",Manual,second,Diesel,Nov-24,487049984
Skoda,Rapid,"2014",10,"71,000 km",Automatic,second,Petrol,Nov-24,75445000
Mahindra,Thar,"2020",4,"40,000 km",Manual,first,Diesel,Nov-24,228244992
BMW,"3 Series GT","2015",9,"61,000 km",Automatic,second,Diesel,Nov-24,286500000
Hyundai,i20,"2010",14,"83,000 km",Manual,second,Petrol,Jul-24,44885000
Toyota,Fortuner,"2012",12,"166,000 km",Manual,second,Diesel,Aug-24,315150016
Tata,Indigo Marina,"2004",20,"70899.0 km",Manual,second,Petrol,Nov-24,18718000
Maruti Suzuki,Ertiga,"2019",5,"91,000 km",Manual,first,Diesel,Nov-24,219459008
Tata,Safari,"2022",2,"27,000 km",Manual,first,Diesel,Nov-24,356215008
Hyundai,Creta,"2018",6,"77,620 km",Automatic,first,Diesel,Nov-24,257850000
Ford,Ecosport,"2017",7,"85,000 km",Manual,second,Diesel,Oct-24,124149808
Tata,Nano Genx,"2016",8,"58 km",Automatic,second,Petrol,Nov-24,35526000
Maruti Suzuki,Swift-Dzire,"2016",8,"25 km",Manual,second,Diesel,Nov-24,80220000
Maruti Suzuki,Alto-800,"2006",18,"20,024 km",Manual,first,Petrol,Nov-24,3820000.0
Hyundai,Grand i10,"2014",10,"80,000 km",Manual,second,Petrol,Nov-24,71731200
Volkswagen,Polo,"2019",5,"35000.0 km",Automatic,second,Petrol,Nov-24,226335008
Honda,City Hybrid eHEV,"2016",8,"77,000 km",Automatic,first,Petrol,Nov-24,109825000
Maruti Suzuki,Swift,"2018",6,"63,259 km",Automatic,second,Diesel,Nov-24,99320000
Ford,Ecosport,"2017",7,"110,000 km",Manual,first,Diesel,Nov-24,85949808
Hyundai,i20,"2023",1,"14,000 km",Automatic,first,Petrol,Oct-24,176675008
Volkswagen,Tiguan,"2018",6,"52,000 km",Automatic,first,Diesel,Nov-24,365764992
Mercedes-Benz,G,"2011",13,"45000.0 km",Automatic,second,Diesel,Nov-24,1432499968
BMW,"3 Series","2016",8,"65,000 km",Automatic,second,Diesel,Nov-24,253075008
Renault,Duster,"2016",8,"75,000 km",Automatic,second,Diesel,Nov-24,113645000
Maruti Suzuki,Swift,"2007",17,"135,000 km",Manual,second,Diesel,Nov-24,31515000
Toyota,Innova,"2014",10,"105,000 km",Manual,second,Diesel,Nov-24,148980000
Land Rover,Range Rover,"2016",8,"151000.0 km",Automatic,second,Diesel,Nov-24,534800000
BMW,"7 Series","2013",11,"61,000 km",Automatic,second,Diesel,Nov-24,162540992
Maruti Suzuki,Grand Vitara,"2023",1,"21,209 km",Manual,first,Petrol,Nov-24,246390000
Toyota,Glanza,"2020",4,"87,000 km",Manual,first,Petrol,Oct-24,140003008
Renault,Duster,"2016",8,"130,000 km",Manual,second,Diesel,Nov-24,114409000
Volvo,XC 90,"2015",9,"125,000 km",Automatic,second,Diesel,Nov-24,205324992
Tata,Tiago,"2018",6,"30,000 km",Automatic,first,Petrol,Nov-24,67805000
Audi,A6,"2015",9,"78,561 km",Automatic,first,Diesel,Nov-24,171703264
Honda,City,"2016",8,"63,000 km",Manual,second,Petrol,Nov-24,114600000
Honda,Amaze,"2016",8,"65,000 km",Manual,first,Petrol,Nov-24,78310000
Volkswagen,Polo GTI,"2015",9,"102,000 km",Automatic,second,Petrol,Nov-24,85950000
Maruti Suzuki,Swift,"2022",2,"35,000 km",Automatic,first,Petrol,Oct-24,142295008
Volkswagen,Virtus,"2022",2,"50,000 km",Automatic,first,Petrol,Oct-24,248108992
Maruti Suzuki,A-Star,"2013",11,"60,000 km",Automatic,second,Petrol,Nov-24,57109000
BMW,"5 Series","2014",10,"72,000 km",Automatic,second,Diesel,Nov-24,305408992
Mini,Cooper S,"2013",11,"53,000 km",Automatic,second,Petrol,Nov-24,305600000
